file,index,nominal_fin_height,nominal_fin_count,nominal_body_length
parametric_study/rocket_h0.08_n3_l0.5.ork,0,0.08,3,0.5
parametric_study/rocket_h0.08_n3_l0.6.ork,1,0.08,3,0.6
parametric_study/rocket_h0.08_n3_l0.7.ork,2,0.08,3,0.7
parametric_study/rocket_h0.08_n4_l0.5.ork,3,0.08,4,0.5
parametric_study/rocket_h0.08_n4_l0.6.ork,4,0.08,4,0.6
parametric_study/rocket_h0.08_n4_l0.7.ork,5,0.08,4,0.7
parametric_study/rocket_h0.1_n3_l0.5.ork,6,0.1,3,0.5
parametric_study/rocket_h0.1_n3_l0.6.ork,7,0.1,3,0.6
parametric_study/rocket_h0.1_n3_l0.7.ork,8,0.1,3,0.7
parametric_study/rocket_h0.1_n4_l0.5.ork,9,0.1,4,0.5
parametric_study/rocket_h0.1_n4_l0.6.ork,10,0.1,4,0.6
parametric_study/rocket_h0.1_n4_l0.7.ork,11,0.1,4,0.7
parametric_study/rocket_h0.12_n3_l0.5.ork,12,0.12,3,0.5
parametric_study/rocket_h0.12_n3_l0.6.ork,13,0.12,3,0.6
parametric_study/rocket_h0.12_n3_l0.7.ork,14,0.12,3,0.7
parametric_study/rocket_h0.12_n4_l0.5.ork,15,0.12,4,0.5
parametric_study/rocket_h0.12_n4_l0.6.ork,16,0.12,4,0.6
parametric_study/rocket_h0.12_n4_l0.7.ork,17,0.12,4,0.7
parametric_study/rocket_h0.14_n3_l0.5.ork,18,0.14,3,0.5
parametric_study/rocket_h0.14_n3_l0.6.ork,19,0.14,3,0.6
parametric_study/rocket_h0.14_n3_l0.7.ork,20,0.14,3,0.7
parametric_study/rocket_h0.14_n4_l0.5.ork,21,0.14,4,0.5
parametric_study/rocket_h0.14_n4_l0.6.ork,22,0.14,4,0.6
parametric_study/rocket_h0.14_n4_l0.7.ork,23,0.14,4,0.7
